Fecha,Producto,Cantidad,Precio Unitario (USD)
25/02/2023,AirPods Pro (2da Gen),17,249
06/07/2023,Kindle Paperwhite,2,139.99
22/01/2023,PlayStation 5,14,499.99
24/11/2023,"MacBook Pro 14""",13,1999
26/06/2023,ASUS ROG Zephyrus G14,7,1599
06/04/2023,"MacBook Pro 14""",18,1999
30/05/2023,Dell XPS 15,3,1499.99
03/10/2023,JBL Charge 5,19,179.99
22/06/2023,Dell XPS 15,1,1499.99
03/04/2023,iPhone 15 Pro,19,999
02/03/2023,Xbox Series X,15,499
03/08/2023,Sony WH-1000XM5,16,399.99
17/09/2023,Microsoft Surface Laptop 5,20,1299
16/06/2023,HP Spectre x360,5,1299
18/10/2023,ASUS ROG Zephyrus G14,13,1599
29/10/2023,LG OLED C2 TV,3,1499
12/02/2023,Logitech MX Master 3S,17,99.99
10/01/2023,Dell XPS 15,5,1499.99
13/01/2023,"MacBook Pro 14""",18,1999
15/06/2023,Apple Watch Series 8,3,399
01/06/2023,"MacBook Pro 14""",14,1999
07/12/2023,"MacBook Pro 14""",1,1999
30/12/2023,Kindle Paperwhite,7,139.99
27/09/2023,Nintendo Switch OLED,6,349.99
03/11/2023,iPhone 15 Pro,2,999
13/05/2023,Samsung Galaxy Tab S8,2,699.99
07/12/2023,iPad Air (5ta Gen),3,599
18/09/2023,Microsoft Surface Laptop 5,5,1299
08/07/2023,JBL Charge 5,10,179.99
31/05/2023,Sony WH-1000XM5,6,399.99
02/08/2023,ASUS ROG Zephyrus G14,18,1599
21/10/2023,HP Spectre x360,17,1299
24/09/2023,iPhone 15 Pro,8,999
18/02/2023,Nintendo Switch OLED,1,349.99
19/08/2023,Samsung Galaxy S23,10,899.99
02/05/2023,Dell XPS 15,3,1499.99
19/06/2023,Dell XPS 15,8,1499.99
21/12/2023,Nintendo Switch OLED,5,349.99
15/09/2023,HP Spectre x360,19,1299
07/12/2023,LG OLED C2 TV,7,1499
05/06/2023,PlayStation 5,13,499.99
19/02/2023,LG OLED C2 TV,18,1499
25/10/2023,LG OLED C2 TV,9,1499
14/10/2023,HP Spectre x360,5,1299
04/10/2023,Dell XPS 15,12,1499.99
05/07/2023,LG OLED C2 TV,8,1499
18/07/2023,Nintendo Switch OLED,14,349.99
12/10/2023,LG OLED C2 TV,4,1499
24/03/2023,Dell XPS 15,4,1499.99
15/02/2023,Dell XPS 15,14,1499.99
21/12/2023,PlayStation 5,12,499.99
06/07/2023,Logitech MX Master 3S,10,99.99
15/04/2023,Nintendo Switch OLED,18,349.99
24/11/2023,ASUS ROG Zephyrus G14,1,1599
08/08/2023,AirPods Pro (2da Gen),17,249
10/04/2023,iPad Air (5ta Gen),14,599
25/06/2023,PlayStation 5,7,499.99
16/09/2023,Microsoft Surface Laptop 5,2,1299
21/10/2023,LG OLED C2 TV,13,1499
29/06/2023,JBL Charge 5,3,179.99
15/11/2023,Sony WH-1000XM5,19,399.99
15/06/2023,Microsoft Surface Laptop 5,1,1299
14/08/2023,HP Spectre x360,18,1299
27/09/2023,Nintendo Switch OLED,13,349.99
21/12/2023,Apple Watch Series 8,8,399
18/10/2023,JBL Charge 5,14,179.99
03/07/2023,HP Spectre x360,10,1299
02/09/2023,ASUS ROG Zephyrus G14,17,1599
19/12/2023,LG OLED C2 TV,19,1499
26/09/2023,LG OLED C2 TV,9,1499
05/07/2023,Kindle Paperwhite,8,139.99
29/09/2023,Nintendo Switch OLED,8,349.99
23/03/2023,iPad Air (5ta Gen),1,599
13/12/2023,Logitech MX Master 3S,14,99.99
06/10/2023,Apple Watch Series 8,20,399
22/12/2023,iPhone 15 Pro,18,999
09/05/2023,Kindle Paperwhite,19,139.99
19/09/2023,Logitech MX Master 3S,2,99.99
29/04/2023,Nintendo Switch OLED,3,349.99
13/11/2023,Google Pixel 7 Pro,16,899
04/01/2023,Xbox Series X,9,499
21/02/2023,Microsoft Surface Laptop 5,13,1299
30/08/2023,Sony WH-1000XM5,11,399.99
26/03/2023,Samsung Galaxy Tab S8,2,699.99
29/04/2023,Xbox Series X,4,499
13/06/2023,Logitech MX Master 3S,18,99.99
01/04/2023,Apple Watch Series 8,16,399
23/02/2023,JBL Charge 5,8,179.99
05/04/2023,JBL Charge 5,7,179.99
26/07/2023,HP Spectre x360,14,1299
13/01/2023,Samsung Galaxy Tab S8,9,699.99
03/12/2023,Microsoft Surface Laptop 5,6,1299
04/12/2023,iPhone 15 Pro,3,999
31/10/2023,Sony WH-1000XM5,5,399.99
04/06/2023,Google Pixel 7 Pro,18,899
15/10/2023,ASUS ROG Zephyrus G14,10,1599
15/05/2023,Microsoft Surface Laptop 5,8,1299
01/05/2023,PlayStation 5,17,499.99
30/04/2023,Microsoft Surface Laptop 5,1,1299
27/11/2023,Microsoft Surface Laptop 5,5,1299
17/02/2023,Xbox Series X,4,499
06/02/2023,iPhone 15 Pro,3,999
21/04/2023,Samsung Galaxy S23,16,899.99
12/11/2023,Apple Watch Series 8,2,399
23/09/2023,Sony WH-1000XM5,16,399.99
18/07/2023,Logitech MX Master 3S,17,99.99
11/06/2023,Google Pixel 7 Pro,20,899
27/02/2023,Dell XPS 15,1,1499.99
12/06/2023,Dell XPS 15,10,1499.99
21/09/2023,HP Spectre x360,10,1299
16/09/2023,ASUS ROG Zephyrus G14,20,1599
12/05/2023,ASUS ROG Zephyrus G14,18,1599
15/10/2023,Xbox Series X,15,499
02/07/2023,iPhone 15 Pro,3,999
11/02/2023,Dell XPS 15,10,1499.99
23/12/2023,PlayStation 5,13,499.99
07/12/2023,Logitech MX Master 3S,20,99.99
16/10/2023,HP Spectre x360,17,1299
07/05/2023,Samsung Galaxy Tab S8,20,699.99
15/07/2023,Samsung Galaxy S23,14,899.99
17/02/2023,iPad Air (5ta Gen),2,599
05/12/2023,Nintendo Switch OLED,14,349.99
23/12/2023,Samsung Galaxy Tab S8,3,699.99
08/05/2023,Google Pixel 7 Pro,10,899
21/07/2023,Samsung Galaxy S23,3,899.99
30/03/2023,Google Pixel 7 Pro,5,899
27/12/2023,iPad Air (5ta Gen),17,599
20/08/2023,Sony WH-1000XM5,15,399.99
11/01/2023,Google Pixel 7 Pro,1,899
04/03/2023,PlayStation 5,5,499.99
22/04/2023,Kindle Paperwhite,1,139.99
26/05/2023,Sony WH-1000XM5,15,399.99
29/12/2023,JBL Charge 5,19,179.99
17/09/2023,Logitech MX Master 3S,1,99.99
23/03/2023,Kindle Paperwhite,16,139.99
25/02/2023,ASUS ROG Zephyrus G14,2,1599
13/02/2023,"MacBook Pro 14""",11,1999
19/01/2023,JBL Charge 5,19,179.99
05/03/2023,iPhone 15 Pro,17,999
19/02/2023,Samsung Galaxy Tab S8,5,699.99
15/12/2023,Samsung Galaxy Tab S8,10,699.99
19/09/2023,Logitech MX Master 3S,11,99.99
25/10/2023,Samsung Galaxy S23,13,899.99
04/03/2023,Sony WH-1000XM5,18,399.99
26/08/2023,HP Spectre x360,3,1299
14/09/2023,"MacBook Pro 14""",15,1999
20/01/2023,Google Pixel 7 Pro,3,899
06/06/2023,Apple Watch Series 8,6,399
06/08/2023,Google Pixel 7 Pro,7,899
19/08/2023,Dell XPS 15,15,1499.99
26/02/2023,LG OLED C2 TV,2,1499
29/01/2023,Dell XPS 15,4,1499.99
11/09/2023,Samsung Galaxy S23,17,899.99
09/02/2023,Samsung Galaxy S23,3,899.99
06/07/2023,HP Spectre x360,10,1299
10/09/2023,Logitech MX Master 3S,5,99.99
23/02/2023,Kindle Paperwhite,13,139.99
26/01/2023,Google Pixel 7 Pro,5,899
07/08/2023,iPad Air (5ta Gen),18,599
05/04/2023,Kindle Paperwhite,15,139.99
26/08/2023,Microsoft Surface Laptop 5,7,1299
29/03/2023,Dell XPS 15,6,1499.99
16/10/2023,PlayStation 5,9,499.99
09/03/2023,Nintendo Switch OLED,4,349.99
10/07/2023,Nintendo Switch OLED,13,349.99
09/08/2023,iPad Air (5ta Gen),7,599
07/12/2023,Sony WH-1000XM5,20,399.99
16/12/2023,Xbox Series X,5,499
16/06/2023,LG OLED C2 TV,10,1499
25/02/2023,Samsung Galaxy S23,20,899.99
08/08/2023,Sony WH-1000XM5,10,399.99
24/11/2023,Samsung Galaxy Tab S8,10,699.99
21/04/2023,"MacBook Pro 14""",11,1999
13/03/2023,Nintendo Switch OLED,4,349.99
09/05/2023,PlayStation 5,6,499.99
08/10/2023,Apple Watch Series 8,6,399
26/05/2023,JBL Charge 5,1,179.99
26/12/2023,Nintendo Switch OLED,14,349.99
24/02/2023,PlayStation 5,11,499.99
18/06/2023,Kindle Paperwhite,3,139.99
18/10/2023,Apple Watch Series 8,6,399
12/01/2023,LG OLED C2 TV,13,1499
31/01/2023,Apple Watch Series 8,15,399
21/04/2023,"MacBook Pro 14""",8,1999
25/11/2023,HP Spectre x360,8,1299
13/04/2023,Apple Watch Series 8,8,399
19/04/2023,"MacBook Pro 14""",17,1999
30/11/2023,iPhone 15 Pro,17,999
05/06/2023,Samsung Galaxy S23,14,899.99
22/09/2023,Kindle Paperwhite,10,139.99
18/01/2023,iPhone 15 Pro,13,999
17/09/2023,AirPods Pro (2da Gen),20,249
09/02/2023,Kindle Paperwhite,4,139.99
22/09/2023,AirPods Pro (2da Gen),2,249
09/09/2023,iPad Air (5ta Gen),9,599
21/01/2023,PlayStation 5,1,499.99
10/10/2023,Dell XPS 15,12,1499.99
11/01/2023,PlayStation 5,16,499.99
27/05/2023,iPad Air (5ta Gen),18,599
17/09/2023,Sony WH-1000XM5,10,399.99
24/02/2023,PlayStation 5,2,499.99
23/03/2023,PlayStation 5,6,499.99
13/04/2023,LG OLED C2 TV,15,1499
29/10/2023,Google Pixel 7 Pro,1,899
18/05/2023,Logitech MX Master 3S,1,99.99
09/06/2023,Apple Watch Series 8,19,399
16/10/2023,HP Spectre x360,18,1299
17/07/2023,Xbox Series X,18,499
01/04/2023,Apple Watch Series 8,20,399
09/08/2023,Dell XPS 15,19,1499.99
06/06/2023,iPad Air (5ta Gen),11,599
27/11/2023,Apple Watch Series 8,14,399
13/09/2023,AirPods Pro (2da Gen),4,249
17/04/2023,Xbox Series X,9,499
21/10/2023,LG OLED C2 TV,19,1499
08/04/2023,AirPods Pro (2da Gen),6,249
05/08/2023,"MacBook Pro 14""",19,1999
10/09/2023,HP Spectre x360,2,1299
12/09/2023,Microsoft Surface Laptop 5,7,1299
19/10/2023,Samsung Galaxy Tab S8,15,699.99
29/07/2023,Kindle Paperwhite,7,139.99
15/10/2023,Sony WH-1000XM5,11,399.99
19/11/2023,"MacBook Pro 14""",12,1999
27/11/2023,Samsung Galaxy S23,19,899.99
14/07/2023,Samsung Galaxy Tab S8,12,699.99
16/06/2023,Kindle Paperwhite,7,139.99
08/05/2023,LG OLED C2 TV,7,1499
01/06/2023,Sony WH-1000XM5,18,399.99
07/02/2023,Logitech MX Master 3S,17,99.99
29/04/2023,PlayStation 5,17,499.99
21/08/2023,Logitech MX Master 3S,17,99.99
07/11/2023,Sony WH-1000XM5,3,399.99
13/07/2023,Dell XPS 15,3,1499.99
25/07/2023,Logitech MX Master 3S,19,99.99
06/08/2023,Microsoft Surface Laptop 5,18,1299
28/04/2023,Sony WH-1000XM5,13,399.99
01/01/2023,PlayStation 5,16,499.99
29/03/2023,HP Spectre x360,5,1299
12/12/2023,Xbox Series X,15,499
04/12/2023,Samsung Galaxy Tab S8,19,699.99
18/11/2023,"MacBook Pro 14""",3,1999
15/11/2023,PlayStation 5,4,499.99
30/01/2023,iPad Air (5ta Gen),2,599
18/02/2023,iPhone 15 Pro,17,999
11/03/2023,Xbox Series X,15,499
15/09/2023,Logitech MX Master 3S,15,99.99
31/03/2023,Sony WH-1000XM5,4,399.99
17/02/2023,Samsung Galaxy S23,7,899.99
12/01/2023,Apple Watch Series 8,15,399
31/01/2023,"MacBook Pro 14""",11,1999
01/05/2023,Xbox Series X,15,499
10/10/2023,HP Spectre x360,9,1299
12/06/2023,Nintendo Switch OLED,3,349.99
21/11/2023,Kindle Paperwhite,3,139.99
24/12/2023,iPhone 15 Pro,10,999
12/02/2023,Kindle Paperwhite,17,139.99
29/12/2023,iPhone 15 Pro,10,999
14/11/2023,"MacBook Pro 14""",3,1999
25/02/2023,Microsoft Surface Laptop 5,11,1299
19/02/2023,Xbox Series X,5,499
07/10/2023,JBL Charge 5,7,179.99
06/03/2023,HP Spectre x360,11,1299
24/03/2023,Samsung Galaxy Tab S8,9,699.99
07/10/2023,Nintendo Switch OLED,20,349.99
21/02/2023,Microsoft Surface Laptop 5,17,1299
08/04/2023,LG OLED C2 TV,10,1499
07/07/2023,Nintendo Switch OLED,16,349.99
16/10/2023,Xbox Series X,10,499
24/06/2023,AirPods Pro (2da Gen),19,249
25/02/2023,PlayStation 5,15,499.99
26/08/2023,Samsung Galaxy S23,2,899.99
08/04/2023,AirPods Pro (2da Gen),15,249
25/05/2023,AirPods Pro (2da Gen),1,249
05/01/2023,Google Pixel 7 Pro,10,899
17/09/2023,iPad Air (5ta Gen),15,599
10/08/2023,Dell XPS 15,11,1499.99
10/08/2023,Dell XPS 15,14,1499.99
19/02/2023,Nintendo Switch OLED,17,349.99
29/04/2023,Samsung Galaxy Tab S8,10,699.99
17/07/2023,Microsoft Surface Laptop 5,4,1299
24/12/2023,PlayStation 5,6,499.99
07/06/2023,"MacBook Pro 14""",6,1999
13/08/2023,"MacBook Pro 14""",19,1999
21/02/2023,Apple Watch Series 8,13,399
18/06/2023,PlayStation 5,1,499.99
19/03/2023,AirPods Pro (2da Gen),14,249
28/01/2023,ASUS ROG Zephyrus G14,5,1599
08/03/2023,Microsoft Surface Laptop 5,12,1299
13/05/2023,JBL Charge 5,20,179.99
07/04/2023,iPad Air (5ta Gen),2,599
26/06/2023,Sony WH-1000XM5,13,399.99
17/09/2023,ASUS ROG Zephyrus G14,17,1599
17/12/2023,AirPods Pro (2da Gen),3,249
16/04/2023,iPad Air (5ta Gen),13,599
06/02/2023,Kindle Paperwhite,2,139.99
01/12/2023,PlayStation 5,5,499.99
26/02/2023,Google Pixel 7 Pro,4,899
17/05/2023,iPhone 15 Pro,7,999
18/05/2023,Logitech MX Master 3S,10,99.99
24/09/2023,Microsoft Surface Laptop 5,18,1299
27/02/2023,Sony WH-1000XM5,4,399.99
26/12/2023,"MacBook Pro 14""",17,1999
13/08/2023,PlayStation 5,5,499.99
09/04/2023,Dell XPS 15,20,1499.99
19/06/2023,HP Spectre x360,1,1299
27/09/2023,Apple Watch Series 8,15,399
25/05/2023,AirPods Pro (2da Gen),14,249
10/03/2023,Nintendo Switch OLED,1,349.99
08/03/2023,Samsung Galaxy S23,3,899.99
27/11/2023,Microsoft Surface Laptop 5,20,1299
03/02/2023,Dell XPS 15,13,1499.99
09/12/2023,Nintendo Switch OLED,19,349.99
17/02/2023,Nintendo Switch OLED,3,349.99
26/04/2023,Google Pixel 7 Pro,20,899
11/06/2023,JBL Charge 5,7,179.99
05/10/2023,ASUS ROG Zephyrus G14,17,1599
22/02/2023,Sony WH-1000XM5,7,399.99
23/06/2023,LG OLED C2 TV,2,1499
02/12/2023,JBL Charge 5,19,179.99
21/02/2023,Sony WH-1000XM5,2,399.99
10/06/2023,Google Pixel 7 Pro,6,899
05/02/2023,iPad Air (5ta Gen),1,599
01/05/2023,Sony WH-1000XM5,8,399.99
21/07/2023,"MacBook Pro 14""",16,1999
12/02/2023,Kindle Paperwhite,3,139.99
24/04/2023,ASUS ROG Zephyrus G14,19,1599
17/07/2023,Samsung Galaxy S23,4,899.99
08/12/2023,iPhone 15 Pro,7,999
04/05/2023,Sony WH-1000XM5,11,399.99
28/10/2023,Logitech MX Master 3S,17,99.99
20/12/2023,Nintendo Switch OLED,17,349.99
15/12/2023,Xbox Series X,2,499
20/01/2023,PlayStation 5,18,499.99
25/11/2023,Google Pixel 7 Pro,5,899
26/12/2023,Sony WH-1000XM5,7,399.99
25/08/2023,JBL Charge 5,12,179.99
01/11/2023,PlayStation 5,5,499.99
27/09/2023,Kindle Paperwhite,6,139.99
26/03/2023,"MacBook Pro 14""",1,1999
03/04/2023,Samsung Galaxy Tab S8,10,699.99
19/10/2023,LG OLED C2 TV,2,1499
21/09/2023,iPad Air (5ta Gen),14,599
18/05/2023,iPhone 15 Pro,12,999
15/04/2023,PlayStation 5,11,499.99
05/10/2023,Samsung Galaxy S23,15,899.99
24/03/2023,iPad Air (5ta Gen),4,599
26/08/2023,Microsoft Surface Laptop 5,18,1299
26/02/2023,Samsung Galaxy S23,16,899.99
02/09/2023,Apple Watch Series 8,7,399
25/04/2023,PlayStation 5,4,499.99
05/08/2023,Nintendo Switch OLED,16,349.99
25/08/2023,Kindle Paperwhite,14,139.99
29/01/2023,iPad Air (5ta Gen),6,599
02/02/2023,Microsoft Surface Laptop 5,2,1299
13/11/2023,HP Spectre x360,13,1299
13/03/2023,Xbox Series X,1,499
03/03/2023,Xbox Series X,7,499
15/05/2023,Apple Watch Series 8,17,399
20/01/2023,Microsoft Surface Laptop 5,10,1299
05/11/2023,Apple Watch Series 8,18,399
16/11/2023,iPhone 15 Pro,11,999
09/04/2023,JBL Charge 5,6,179.99
11/02/2023,Google Pixel 7 Pro,7,899
16/10/2023,PlayStation 5,1,499.99
29/01/2023,Nintendo Switch OLED,10,349.99
24/05/2023,Microsoft Surface Laptop 5,2,1299
20/03/2023,LG OLED C2 TV,6,1499
29/08/2023,Apple Watch Series 8,17,399
26/07/2023,Xbox Series X,8,499
28/01/2023,Nintendo Switch OLED,19,349.99
05/05/2023,Xbox Series X,18,499
13/03/2023,ASUS ROG Zephyrus G14,12,1599
30/05/2023,"MacBook Pro 14""",6,1999
15/05/2023,Dell XPS 15,8,1499.99
09/01/2023,Kindle Paperwhite,12,139.99
30/08/2023,Sony WH-1000XM5,12,399.99
05/09/2023,JBL Charge 5,7,179.99
10/12/2023,JBL Charge 5,3,179.99
19/01/2023,Logitech MX Master 3S,1,99.99
11/06/2023,Logitech MX Master 3S,7,99.99
29/01/2023,HP Spectre x360,14,1299
27/08/2023,Samsung Galaxy S23,6,899.99
23/07/2023,Logitech MX Master 3S,14,99.99
17/03/2023,Google Pixel 7 Pro,9,899
06/11/2023,iPhone 15 Pro,10,999
15/06/2023,Sony WH-1000XM5,1,399.99
28/04/2023,Kindle Paperwhite,20,139.99
11/01/2023,HP Spectre x360,9,1299
25/03/2023,LG OLED C2 TV,4,1499
30/04/2023,iPhone 15 Pro,13,999
01/10/2023,LG OLED C2 TV,4,1499
16/11/2023,ASUS ROG Zephyrus G14,5,1599
21/03/2023,ASUS ROG Zephyrus G14,9,1599
14/06/2023,PlayStation 5,3,499.99
06/12/2023,Kindle Paperwhite,4,139.99
04/12/2023,Nintendo Switch OLED,16,349.99
13/11/2023,Microsoft Surface Laptop 5,10,1299
02/04/2023,Sony WH-1000XM5,4,399.99
17/07/2023,Xbox Series X,16,499
22/10/2023,Microsoft Surface Laptop 5,11,1299
07/04/2023,Dell XPS 15,10,1499.99
19/11/2023,Google Pixel 7 Pro,4,899
22/02/2023,Microsoft Surface Laptop 5,20,1299
13/02/2023,"MacBook Pro 14""",18,1999
11/01/2023,JBL Charge 5,9,179.99
19/01/2023,JBL Charge 5,17,179.99
18/04/2023,iPad Air (5ta Gen),9,599
22/01/2023,Samsung Galaxy Tab S8,5,699.99
21/10/2023,iPad Air (5ta Gen),8,599
18/08/2023,Google Pixel 7 Pro,15,899
16/07/2023,iPhone 15 Pro,14,999
02/06/2023,Microsoft Surface Laptop 5,1,1299
11/05/2023,Apple Watch Series 8,19,399
19/06/2023,Microsoft Surface Laptop 5,13,1299
29/06/2023,Samsung Galaxy Tab S8,13,699.99
09/01/2023,HP Spectre x360,8,1299
28/11/2023,Sony WH-1000XM5,3,399.99
23/08/2023,Xbox Series X,13,499
01/12/2023,Samsung Galaxy S23,16,899.99
24/09/2023,PlayStation 5,4,499.99
29/09/2023,Samsung Galaxy Tab S8,9,699.99
10/10/2023,Samsung Galaxy Tab S8,11,699.99
07/05/2023,Xbox Series X,4,499
31/01/2023,JBL Charge 5,9,179.99
09/01/2023,JBL Charge 5,2,179.99
09/08/2023,Samsung Galaxy Tab S8,8,699.99
03/03/2023,Logitech MX Master 3S,12,99.99
28/07/2023,Logitech MX Master 3S,8,99.99
31/01/2023,ASUS ROG Zephyrus G14,4,1599
28/11/2023,JBL Charge 5,3,179.99
13/05/2023,Sony WH-1000XM5,17,399.99
25/06/2023,HP Spectre x360,2,1299
10/07/2023,Apple Watch Series 8,12,399
26/08/2023,Dell XPS 15,16,1499.99
03/10/2023,HP Spectre x360,5,1299
24/03/2023,Dell XPS 15,7,1499.99
25/09/2023,HP Spectre x360,14,1299
23/12/2023,Samsung Galaxy S23,8,899.99
06/10/2023,Samsung Galaxy S23,19,899.99
24/02/2023,Sony WH-1000XM5,10,399.99
06/11/2023,JBL Charge 5,13,179.99
03/06/2023,LG OLED C2 TV,15,1499
18/07/2023,Dell XPS 15,10,1499.99
05/06/2023,Logitech MX Master 3S,8,99.99
27/05/2023,Samsung Galaxy S23,13,899.99
26/01/2023,PlayStation 5,9,499.99
24/09/2023,Microsoft Surface Laptop 5,15,1299
25/09/2023,ASUS ROG Zephyrus G14,20,1599
14/04/2023,Xbox Series X,1,499
04/11/2023,Google Pixel 7 Pro,8,899
17/09/2023,iPad Air (5ta Gen),8,599
11/02/2023,iPad Air (5ta Gen),8,599
20/03/2023,Samsung Galaxy S23,13,899.99
03/03/2023,Xbox Series X,13,499
27/07/2023,LG OLED C2 TV,1,1499
16/11/2023,ASUS ROG Zephyrus G14,14,1599
03/06/2023,Kindle Paperwhite,16,139.99
20/09/2023,iPhone 15 Pro,7,999
12/04/2023,Samsung Galaxy Tab S8,19,699.99
27/06/2023,Samsung Galaxy Tab S8,8,699.99
25/01/2023,AirPods Pro (2da Gen),11,249
11/02/2023,Microsoft Surface Laptop 5,10,1299
09/01/2023,LG OLED C2 TV,15,1499
12/08/2023,Samsung Galaxy Tab S8,4,699.99
13/09/2023,Logitech MX Master 3S,17,99.99
02/10/2023,Sony WH-1000XM5,5,399.99
23/04/2023,Xbox Series X,8,499
24/12/2023,Nintendo Switch OLED,10,349.99
16/03/2023,LG OLED C2 TV,14,1499
21/08/2023,Microsoft Surface Laptop 5,8,1299
16/12/2023,Dell XPS 15,7,1499.99
23/03/2023,"MacBook Pro 14""",17,1999
13/01/2023,iPhone 15 Pro,3,999
13/03/2023,Apple Watch Series 8,15,399
09/07/2023,Microsoft Surface Laptop 5,19,1299
16/06/2023,LG OLED C2 TV,16,1499
20/09/2023,"MacBook Pro 14""",19,1999
18/04/2023,HP Spectre x360,4,1299
02/12/2023,iPhone 15 Pro,20,999
20/12/2023,Samsung Galaxy S23,5,899.99
19/10/2023,JBL Charge 5,15,179.99
14/08/2023,Samsung Galaxy S23,15,899.99
20/10/2023,Microsoft Surface Laptop 5,9,1299
12/04/2023,iPhone 15 Pro,10,999
24/11/2023,iPad Air (5ta Gen),1,599
23/01/2023,Samsung Galaxy S23,2,899.99
17/06/2023,Samsung Galaxy Tab S8,17,699.99
06/02/2023,PlayStation 5,17,499.99
26/11/2023,Microsoft Surface Laptop 5,16,1299
07/11/2023,Sony WH-1000XM5,17,399.99
23/04/2023,Nintendo Switch OLED,2,349.99
11/10/2023,AirPods Pro (2da Gen),1,249
06/08/2023,ASUS ROG Zephyrus G14,5,1599
17/08/2023,iPad Air (5ta Gen),5,599
26/04/2023,"MacBook Pro 14""",3,1999
01/09/2023,Nintendo Switch OLED,17,349.99
14/11/2023,Logitech MX Master 3S,2,99.99
07/07/2023,Samsung Galaxy S23,18,899.99
30/10/2023,Microsoft Surface Laptop 5,11,1299
10/12/2023,iPad Air (5ta Gen),7,599
10/12/2023,Logitech MX Master 3S,14,99.99
01/08/2023,Sony WH-1000XM5,9,399.99
13/10/2023,JBL Charge 5,6,179.99
30/05/2023,Dell XPS 15,4,1499.99
30/06/2023,Xbox Series X,4,499
22/08/2023,Xbox Series X,1,499
13/07/2023,LG OLED C2 TV,8,1499
10/11/2023,Kindle Paperwhite,20,139.99
10/07/2023,LG OLED C2 TV,20,1499
20/10/2023,Xbox Series X,15,499
10/07/2023,HP Spectre x360,3,1299
02/03/2023,Samsung Galaxy S23,11,899.99
10/07/2023,Xbox Series X,4,499
25/11/2023,Dell XPS 15,12,1499.99
20/12/2023,Samsung Galaxy S23,1,899.99
10/01/2023,iPad Air (5ta Gen),12,599
21/09/2023,Sony WH-1000XM5,19,399.99
11/02/2023,JBL Charge 5,18,179.99
05/07/2023,Dell XPS 15,2,1499.99
27/06/2023,iPhone 15 Pro,7,999
01/11/2023,Dell XPS 15,10,1499.99
30/06/2023,JBL Charge 5,18,179.99
23/08/2023,Samsung Galaxy S23,5,899.99
14/07/2023,Nintendo Switch OLED,14,349.99
12/12/2023,Xbox Series X,5,499
30/09/2023,Logitech MX Master 3S,4,99.99
23/05/2023,Logitech MX Master 3S,5,99.99
28/01/2023,Nintendo Switch OLED,4,349.99
31/08/2023,HP Spectre x360,3,1299
03/12/2023,JBL Charge 5,13,179.99
28/07/2023,Sony WH-1000XM5,7,399.99
20/05/2023,Logitech MX Master 3S,19,99.99
06/03/2023,Dell XPS 15,6,1499.99
19/05/2023,Samsung Galaxy S23,5,899.99
01/12/2023,JBL Charge 5,7,179.99
05/07/2023,ASUS ROG Zephyrus G14,14,1599
22/03/2023,PlayStation 5,7,499.99
28/11/2023,Apple Watch Series 8,12,399
27/11/2023,Samsung Galaxy S23,17,899.99
12/09/2023,"MacBook Pro 14""",12,1999
28/12/2023,ASUS ROG Zephyrus G14,7,1599
01/12/2023,Kindle Paperwhite,14,139.99
14/08/2023,Microsoft Surface Laptop 5,6,1299
30/09/2023,PlayStation 5,5,499.99
26/08/2023,Dell XPS 15,16,1499.99
10/07/2023,Sony WH-1000XM5,16,399.99
10/03/2023,ASUS ROG Zephyrus G14,7,1599
27/02/2023,Apple Watch Series 8,18,399
03/05/2023,LG OLED C2 TV,16,1499
21/01/2023,Kindle Paperwhite,7,139.99
09/01/2023,Apple Watch Series 8,8,399
14/04/2023,"MacBook Pro 14""",10,1999
28/12/2023,Google Pixel 7 Pro,11,899
09/09/2023,Samsung Galaxy S23,10,899.99
06/03/2023,Nintendo Switch OLED,4,349.99
18/01/2023,Dell XPS 15,2,1499.99
19/04/2023,Samsung Galaxy Tab S8,1,699.99
28/03/2023,Xbox Series X,5,499
03/07/2023,iPhone 15 Pro,19,999
19/04/2023,Samsung Galaxy Tab S8,5,699.99
18/12/2023,LG OLED C2 TV,4,1499
09/06/2023,Kindle Paperwhite,16,139.99
23/06/2023,PlayStation 5,12,499.99
31/01/2023,Sony WH-1000XM5,16,399.99
27/02/2023,JBL Charge 5,2,179.99
19/12/2023,Dell XPS 15,1,1499.99
02/05/2023,Logitech MX Master 3S,10,99.99
12/07/2023,LG OLED C2 TV,11,1499
07/08/2023,Google Pixel 7 Pro,4,899
14/05/2023,Kindle Paperwhite,10,139.99
09/03/2023,Samsung Galaxy Tab S8,8,699.99
06/12/2023,Apple Watch Series 8,13,399
17/08/2023,LG OLED C2 TV,4,1499
07/08/2023,JBL Charge 5,14,179.99
21/07/2023,Sony WH-1000XM5,6,399.99
26/09/2023,Logitech MX Master 3S,10,99.99
07/11/2023,iPad Air (5ta Gen),18,599
06/04/2023,Dell XPS 15,6,1499.99
12/04/2023,Dell XPS 15,9,1499.99
15/11/2023,Microsoft Surface Laptop 5,8,1299
11/04/2023,AirPods Pro (2da Gen),7,249
14/07/2023,ASUS ROG Zephyrus G14,16,1599
20/04/2023,iPad Air (5ta Gen),13,599
16/12/2023,LG OLED C2 TV,10,1499
16/04/2023,Apple Watch Series 8,18,399
16/03/2023,iPad Air (5ta Gen),18,599
07/08/2023,HP Spectre x360,15,1299
